Facility Type,School Type,School District,School Name,Address,6-12 Grade Enrollment,Total Enrollment,Average Up to Date Rate,Average Exemption Rate,Average In Process Rate,Average Incomplete Record Rate,Average No Record Rate,HepB: Up to Date Rate,HepB: Medical Exemptions Rate,HepB: Religious Exemptions Rate,HepB: Personal Exemptions Rate,HepB: In Process Rate,HepB: McKinny-Vento Exemptions Rate,HepB: Incomplete Record Rate,HepB: No Record Rate,Dtap: Up to Date Rate,Dtap: Medical Exemptions Rate,Dtap: Religious Exemptions Rate,Dtap: Personal Exemptions Rate,Dtap: In Process Rate,Dtap: McKinny-Vento Exemptions Rate,Dtap: Incomplete Record Rate,Dtap: No Record Rate,Polio: Up to Date Rate,Polio: Medical Exemptions Rate,Polio: Religious Exemptions Rate,Polio: Personal Exemptions Rate,Polio: In Process Rate,Polio: McKinny-Vento Exemptions Rate,Polio: Incomplete Record Rate,Polio: No Record Rate,MMR: Up to Date Rate,MMR: Medical Exemptions Rate,MMR: Religious Exemptions Rate,MMR: Personal Exemptions Rate,MMR: In Process Rate,MMR: McKinny-Vento Exemptions Rate,MMR: Incomplete Record Rate,MMR: No Record Rate,Varicella: Up to Date Rate,Varicella: Medical Exemptions Rate,Varicella: Religious Exemptions Rate,Varicella: Personal Exemptions Rate,Varicella: In Process Rate,Varicella: McKinny-Vento Exemptions Rate,Varicella: Incomplete Record Rate,Varicella: No Record Rate,Tdap: Up to Date,Tdap: Medical Exemptions,Tdap: Religious Exemptions,Tdap: Personal Exemptions,Tdap: In Process,Tdap: McKinny-Vento Exemptions,Tdap: Incomplete Record,Tdap: No Record,Street Address,Zipcode,ADDRESS,CHARTER,CITY,DISTRICT_NAME,DISTRICT_NUMBER,DISTRICT_SETTING,HIGHEST_GRADE,LOWEST_GRADE,PHONE,SCHOOL_CODE,SCHOOL_NAME,STATE,ZIPCODE
PUBLIC,High,DENVER COUNTY 1,ACADEMY OF URBAN LEARNING,"2417 W. 29TH AVE DENVER, CO 80211",104.0,104.0,0.9599,0.0096,0.0,0.0304,0.0,0.9712,0.0,0.0,0.0096,0.0,0.0,0.0192,0.0,0.9808,0.0,0.0,0.0096,0.0,0.0,0.0096,0.0,0.9808,0.0,0.0,0.0096,0.0,0.0,0.0096,0.0,0.9615,0.0096,0.0,0.0096,0.0,0.0,0.0192,0.0,0.9038,0.0,0.0,0.0,0.0,0.0,0.0962,0.0,0.9615,0.0,0.0,0.0096,0.0,0.0,0.0288,0.0,2417 W. 29TH AVE DENVER,80211,2417 W. 29TH AVE,True,DENVER,DENVER COUNTY 1,0880,Denver Metro,12th Grade,9th Grade,3032820900,0067,ACADEMY OF URBAN LEARNING,CO,80211
PUBLIC,Elem/Middle,MAPLETON 1,ACHIEVE ACADEMY,"9100 POZE BLVD THORNTON, CO 80229",171.0,488.0,0.9766,0.0015,0.0,0.0234,0.0,0.9713,0.0,0.0,0.0,0.0,0.0,0.0287,0.0,0.9816,0.0,0.0,0.002,0.0,0.0,0.0184,0.0,0.9795,0.0,0.0,0.002,0.0,0.0,0.0205,0.0,0.9836,0.0,0.0,0.002,0.0,0.0,0.0164,0.0,0.9713,0.0,0.0,0.002,0.0,0.0,0.0287,0.0,0.9649,0.0,0.0,0.0,0.0,0.0,0.0351,0.0,9100 POZE BLVD THORNTON,80229,9100 POZE BLVD,False,THORNTON,MAPLETON 1,0010,Denver Metro,8th Grade,Preschool,3038531300,0505,ACHIEVE ACADEMY,CO,80229
PUBLIC,Elementary,DOUGLAS COUNTY RE 1,ACRES GREEN ELEMENTARY SCHOOL,"13524 NORTH ACRES GREEN DRIVE LITTLETON, CO 80124",85.0,618.0,0.8715,0.0157,0.0003,0.1027,0.0057,0.9126,0.0032,0.0016,0.0129,0.0,0.0032,0.0615,0.0049,0.9045,0.0,0.0016,0.0129,0.0,0.0032,0.0728,0.0049,0.8883,0.0,0.0016,0.0146,0.0,0.0049,0.0858,0.0049,0.8932,0.0016,0.0129,0.0016,0.0,0.0049,0.0809,0.0049,0.8576,0.0016,0.0129,0.0016,0.0016,0.0049,0.1149,0.0049,0.1529,0.0,0.0,0.0,0.0,0.0,0.8118,0.0353,13524 NORTH ACRES GREEN DRIVE LITTLETON,80124,13524 NORTH ACRES GREEN DRIVE,False,LITTLETON,DOUGLAS COUNTY RE 1,0900,Denver Metro,6th Grade,Preschool,3033877125,0012,ACRES GREEN ELEMENTARY SCHOOL,CO,80124
PUBLIC,High,ADAMS COUNTY 14,ADAMS CITY HIGH SCHOOL,"7200 QUEBEC PARKWAY COMMERCE CITY, CO 80022",1793.0,1793.0,0.9879,0.0011,0.0112,0.0,0.0,0.9833,0.0,0.0011,0.0,0.0156,0.0,0.0,0.0,1.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.9955,0.0,0.0011,0.0,0.0033,0.0,0.0,0.0,0.9922,0.0,0.0011,0.0,0.0067,0.0,0.0,0.0,0.9665,0.0,0.0011,0.0,0.0323,0.0,0.0,0.0,0.99,0.0,0.0011,0.0,0.0089,0.0,0.0,0.0,7200 QUEBEC PARKWAY COMMERCE CITY,80022,7200 QUEBEC PARKWAY,False,COMMERCE CITY,ADAMS COUNTY 14,0030,Denver Metro,12th Grade,9th Grade,3032893111,0024,ADAMS CITY HIGH SCHOOL,CO,80022
PUBLIC,Middle,ADAMS COUNTY 14,ADAMS CITY MIDDLE SCHOOL,"4451 EAST 72ND AVENUE COMMERCE CITY, CO 80022",821.0,821.0,0.971,0.0016,0.0266,0.0,0.0,0.9976,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.9963,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.9963,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.9976,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.9988,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.8392,0.0,0.0,0.0012,0.1596,0.0,0.0,0.0,4451 EAST 72ND AVENUE COMMERCE CITY,80022,4451 EAST 72ND AVENUE,False,COMMERCE CITY,ADAMS COUNTY 14,0030,Denver Metro,8th Grade,6th Grade,3032895881,0020,ADAMS CITY MIDDLE SCHOOL,CO,80022
PUBLIC,Elementary,JEFFERSON COUNTY R-1,ADAMS ELEMENTARY SCHOOL,"6450 WEST 95TH PLACE WESTMINSTER, CO 80021",63.0,395.0,0.9033,0.0172,0.0,0.0643,0.0152,0.9342,0.0,0.0,0.0101,0.0,0.0,0.0405,0.0152,0.9165,0.0025,0.0,0.0152,0.0,0.0,0.0506,0.0152,0.9038,0.0,0.0,0.0203,0.0,0.0,0.0608,0.0152,0.9038,0.0,0.0,0.0228,0.0,0.0,0.0582,0.0152,0.9063,0.0,0.0,0.0152,0.0,0.0,0.0633,0.0152,0.6032,0.0,0.0,0.0159,0.0,0.0,0.3651,0.0159,6450 WEST 95TH PLACE WESTMINSTER,80021,6450 WEST 95TH PLACE,False,WESTMINSTER,JEFFERSON COUNTY R-1,1420,Denver Metro,5th Grade,Preschool,3039829790,0030,ADAMS ELEMENTARY SCHOOL,CO,80021
PUBLIC,Elementary,JEFFERSON COUNTY R-1,ADAMS ELEMENTARY SCHOOL,"6450 WEST 95TH PLACE WESTMINSTER, CO 80021",63.0,395.0,0.9033,0.0172,0.0,0.0643,0.0152,0.9342,0.0,0.0,0.0101,0.0,0.0,0.0405,0.0152,0.9165,0.0025,0.0,0.0152,0.0,0.0,0.0506,0.0152,0.9038,0.0,0.0,0.0203,0.0,0.0,0.0608,0.0152,0.9038,0.0,0.0,0.0228,0.0,0.0,0.0582,0.0152,0.9063,0.0,0.0,0.0152,0.0,0.0,0.0633,0.0152,0.6032,0.0,0.0,0.0159,0.0,0.0,0.3651,0.0159,6450 WEST 95TH PLACE WESTMINSTER,80021,2101 MANITOBA DRIVE,False,COLORADO SPRINGS,COLORADO SPRINGS 11,1010,Urban-Suburban,5th Grade,Preschool,7193282900,3890,ADAMS ELEMENTARY SCHOOL,CO,80910
PUBLIC,Elementary,MAPLETON 1,ADVENTURE ELEMENTARY,"7700 DELTA ST. DENVER, CO 80221",56.0,339.0,0.944,0.0074,0.0,0.0428,0.0057,0.9705,0.0,0.0,0.0059,0.0,0.0,0.0177,0.0059,0.9676,0.0,0.0,0.0059,0.0,0.0,0.0206,0.0059,0.9558,0.0,0.0,0.0088,0.0,0.0,0.0295,0.0059,0.9528,0.0029,0.0,0.0059,0.0,0.0,0.0324,0.0059,0.9558,0.0029,0.0,0.0059,0.0,0.0,0.0295,0.0059,0.4464,0.0,0.0,0.0,0.0,0.0,0.5536,0.0,7700 DELTA ST. DENVER,80221,7700 DELTA ST.,False,DENVER,MAPLETON 1,0010,Denver Metro,6th Grade,Preschool,3038531410,0507,ADVENTURE ELEMENTARY,CO,80221
PUBLIC,High,ACADEMY 20,AIR ACADEMY HIGH SCHOOL,"551 NORTH FRONTAGE ROAD WEST USAF ACADEMY, CO 80840",1567.0,1567.0,0.9118,0.0239,0.0001,0.0638,0.0,0.9368,0.0,0.0026,0.0102,0.0,0.0,0.0504,0.0,0.9579,0.0,0.0019,0.0096,0.0006,0.0,0.03,0.0,0.9579,0.0,0.0006,0.0077,0.0,0.0,0.0319,0.0,0.9413,0.0026,0.0019,0.0089,0.0,0.0,0.0453,0.0,0.7722,0.0006,0.0026,0.081,0.0,0.0,0.1436,0.0,0.9049,0.0,0.0026,0.0108,0.0,0.0,0.0817,0.0,551 NORTH FRONTAGE ROAD WEST USAF ACADEMY,80840,551 NORTH FRONTAGE ROAD WEST,False,USAF ACADEMY,ACADEMY 20,1040,Urban-Suburban,12th Grade,9th Grade,7192342400,0076,AIR ACADEMY HIGH SCHOOL,CO,80840
PUBLIC,Elementary,ALAMOSA RE-11J,ALAMOSA ELEMENTARY SCHOOL,"1709 WEST 10TH STREET ALAMOSA, CO 81101",0.0,1156.0,0.9265,0.0,0.0415,0.0,0.032,0.9567,0.0,0.0,0.0,0.0112,0.0,0.0,0.032,0.9178,0.0,0.0,0.0,0.0502,0.0,0.0,0.032,0.9308,0.0,0.0,0.0,0.0372,0.0,0.0,0.032,0.9213,0.0,0.0,0.0,0.0467,0.0,0.0,0.032,0.9057,0.0,0.0,0.0,0.0623,0.0,0.0,0.032,,,,,,,,,1709 WEST 10TH STREET ALAMOSA,81101,1709 WEST 10TH STREET,False,ALAMOSA,ALAMOSA RE-11J,0100,Outlying City,5th Grade,Kindergarten,7195871600,0115,ALAMOSA ELEMENTARY SCHOOL,CO,81101
PUBLIC,High,ALAMOSA RE-11J,ALAMOSA HIGH SCHOOL,"805 CRAFT DRIVE ALAMOSA, CO 81101",593.0,593.0,0.9488,0.0,0.0259,0.0,0.0253,0.9578,0.0,0.0,0.0,0.0169,0.0,0.0,0.0253,0.968,0.0,0.0,0.0,0.0067,0.0,0.0,0.0253,0.9545,0.0,0.0,0.0,0.0202,0.0,0.0,0.0253,0.9612,0.0,0.0,0.0,0.0135,0.0,0.0,0.0253,0.9292,0.0,0.0,0.0,0.0455,0.0,0.0,0.0253,0.9224,0.0,0.0,0.0,0.0523,0.0,0.0,0.0253,805 CRAFT DRIVE ALAMOSA,81101,805 CRAFT DRIVE,False,ALAMOSA,ALAMOSA RE-11J,0100,Outlying City,12th Grade,9th Grade,7195876000,0118,ALAMOSA HIGH SCHOOL,CO,81101
PUBLIC,Middle/High,ALAMOSA RE-11J,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,"2431 MAIN STREET ALAMOSA, CO 81101",59.0,59.0,0.8503,0.0,0.0819,0.0,0.0678,0.8983,0.0,0.0,0.0,0.0339,0.0,0.0,0.0678,0.8983,0.0,0.0,0.0,0.0339,0.0,0.0,0.0678,0.8475,0.0,0.0,0.0,0.0847,0.0,0.0,0.0678,0.8475,0.0,0.0,0.0,0.0847,0.0,0.0,0.0678,0.8475,0.0,0.0,0.0,0.0847,0.0,0.0,0.0678,0.7627,0.0,0.0,0.0,0.1695,0.0,0.0,0.0678,2431 MAIN STREET ALAMOSA,81101,2431 MAIN STREET,False,ALAMOSA,ALAMOSA RE-11J,0100,Outlying City,12th Grade,6th Grade,7199372112,0368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,CO,81101
PUBLIC,Elementary,SHERIDAN 2,ALICE TERRY ELEMENTARY SCHOOL,"3700 SOUTH KNOX COURT ENGLEWOOD, CO 80150",0.0,283.0,0.964,0.0141,0.0014,0.0205,0.0,0.9859,0.0,0.0,0.0141,0.0,0.0,0.0,0.0,0.9647,0.0,0.0,0.0106,0.0035,0.0,0.0212,0.0,0.9576,0.0,0.0,0.0106,0.0035,0.0,0.0283,0.0,0.9576,0.0,0.0,0.0177,0.0,0.0,0.0247,0.0,0.9541,0.0,0.0,0.0177,0.0,0.0,0.0283,0.0,,,,,,,,,3700 SOUTH KNOX COURT ENGLEWOOD,80150,3700 SOUTH KNOX COURT,False,ENGLEWOOD,SHERIDAN 2,0123,Denver Metro,2nd Grade,Kindergarten,7208336989,3054,ALICE TERRY ELEMENTARY SCHOOL,CO,80150
PUBLIC,Elementary,BOULDER VALLEY RE 2,ALICIA SANCHEZ INTERNATIONAL SCHOOL,"655 SIR GALAHAD DRIVE LAFAYETTE, CO 80026",0.0,350.0,0.804,0.0177,0.0011,0.1023,0.0223,0.82,0.0,0.0,0.02,0.0,0.0514,0.1086,0.0,0.8143,0.0,0.0,0.0171,0.0057,0.0514,0.0971,0.0229,0.7829,0.0,0.0,0.0171,0.0,0.0514,0.1,0.02,0.8086,0.0,0.0,0.0171,0.0,0.0514,0.1029,0.0343,0.7943,0.0,0.0,0.0171,0.0,0.0514,0.1029,0.0343,,,,,,,,,655 SIR GALAHAD DRIVE LAFAYETTE,80026,655 SIR GALAHAD DRIVE,False,LAFAYETTE,BOULDER VALLEY RE 2,0480,Denver Metro,5th Grade,Preschool,7205617300,7592,ALICIA SANCHEZ INTERNATIONAL SCHOOL,CO,80026
PUBLIC,Elementary,JEFFERSON COUNTY R-1,ALLENDALE ELEMENTARY SCHOOL,"5900 OAK STREET ARVADA, CO 80004",35.0,208.0,0.8809,0.1023,0.0028,0.0019,0.0,0.9038,0.0,0.0144,0.0625,0.0,0.0096,0.0096,0.0,0.8798,0.0,0.0192,0.0865,0.0048,0.0096,0.0,0.0,0.8846,0.0,0.0144,0.0865,0.0048,0.0096,0.0,0.0,0.8846,0.0,0.0192,0.0817,0.0,0.0144,0.0,0.0,0.875,0.0,0.0192,0.0913,0.0,0.0144,0.0,0.0,0.7429,0.0,0.0571,0.1429,0.0286,0.0286,0.0,0.0,5900 OAK STREET ARVADA,80004,5900 OAK STREET,False,ARVADA,JEFFERSON COUNTY R-1,1420,Denver Metro,5th Grade,Preschool,3039821165,0148,ALLENDALE ELEMENTARY SCHOOL,CO,80004
PUBLIC,Elementary,ST VRAIN VALLEY RE 1J,ALPINE ELEMENTARY SCHOOL,"2005 ALPINE STREET LONGMONT, CO 80501",0.0,480.0,0.9063,0.0442,0.0,0.0479,0.0,0.9292,0.0,0.0,0.0417,0.0,0.0,0.0292,0.0,0.9104,0.0,0.0021,0.0396,0.0,0.0,0.0479,0.0,0.8979,0.0,0.0021,0.0396,0.0,0.0,0.0604,0.0,0.9,0.0,0.0021,0.0458,0.0,0.0,0.0521,0.0,0.8938,0.0021,0.0021,0.0438,0.0,0.0,0.05,0.0,,,,,,,,,2005 ALPINE STREET LONGMONT,80501,2005 ALPINE STREET,False,LONGMONT,ST VRAIN VALLEY RE 1J,0470,Denver Metro,5th Grade,Preschool,7206528140,0061,ALPINE ELEMENTARY SCHOOL,CO,80501
PUBLIC,Elementary,ADAMS COUNTY 14,ALSUP ELEMENTARY SCHOOL,"7101 BIRCH STREET COMMERCE CITY, CO 80022",0.0,551.0,0.9844,0.0127,0.0029,0.0,0.0,0.9819,0.0,0.0,0.0109,0.0073,0.0,0.0,0.0,0.9891,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.9873,0.0,0.0,0.0109,0.0018,0.0,0.0,0.0,0.9891,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.9746,0.0,0.0,0.02,0.0054,0.0,0.0,0.0,,,,,,,,,7101 BIRCH STREET COMMERCE CITY,80022,7101 BIRCH STREET,False,COMMERCE CITY,ADAMS COUNTY 14,0030,Denver Metro,5th Grade,Kindergarten,3032886865,0186,ALSUP ELEMENTARY SCHOOL,CO,80022
PUBLIC,Elementary,LAMAR RE-2,ALTA VISTA CHARTER SCHOOL,"8785 CR LL LAMAR, CO 81052",12.0,123.0,0.9569,0.0431,0.0,0.0,0.0,0.9593,0.0,0.0244,0.0163,0.0,0.0,0.0,0.0,0.9756,0.0,0.0244,0.0,0.0,0.0,0.0,0.0,0.9512,0.0,0.0244,0.0244,0.0,0.0,0.0,0.0,0.9593,0.0,0.0244,0.0163,0.0,0.0,0.0,0.0,0.9593,0.0,0.0244,0.0163,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,8785 CR LL LAMAR,81052,8785 CR LL,True,LAMAR,LAMAR RE-2,2660,Outlying City,6th Grade,Kindergarten,7193362154,0200,ALTA VISTA CHARTER SCHOOL,CO,81052
